PORT_IATA,PORT_NAME,LAT_DEC,LONG_DEC,CITY_NAME,ACTIVE
EFL,Kefallinia,38.11999,20.50055,Kefallinia,Y
EGC,Roumaniere,44.82444,0.52055,Bergerac,Y
EGN,Geneina,13.4836,22.47249,Geneina,Y
EGO,Belgorod,50.64388,36.58999,Belgorod,Y
EGS,Egilsstadir,65.28333,-14.40138,Egilsstadir,Y
EGX,Egegik,58.18555,-157.37554,Egegik,Y
VDO,Van Don International,21.11382,107.41949,Quang Ninh,Y
EJA,Yariguies,7.02443,-73.80666,Barrancabermeja,Y
EJH,Wedjh,26.1986,36.47638,Wedjh,Y
EKO,Elko Regional,40.82724,-115.78132,Elko,Y
ELC,Elcho Island,-12.01943,135.57054,Elcho Island,Y
ELD,South Arkansas Rgnl,33.2211,-92.81333,El Dorado,Y
ELF,El Fasher,13.615,25.32471,El Fasher,Y
ELG,El Golea,30.58158,2.86152,El Golea,Y
ELH,North Eleuthera,25.47499,-76.6836,North Eleuthera,Y
PNQ,Lohegaon,18.58221,73.91971,Pune,Y
PNR,Pointe-Noire,-4.81611,11.88666,Pointe-Noire,Y
POA,Salgado Filho Intl,-29.99444,-51.17138,Porto Alegre,Y
POG,Port Gentil International,-0.71166,8.75444,Port Gentil,Y
POL,Pemba,-12.98666,40.52249,Pemba,Y
POM,Jacksons Intl,-9.44333,147.21999,Port Moresby,Y
POP,Gregorio Luperon Intl,19.75777,-70.56999,Puerto Plata,Y
POR,Pori,61.46166,21.8,Pori,Y
POS,Piarco International,10.59527,-61.33721,Port of Spain,Y
POZ,Poznan Lawica Apt,52.4211,16.82638,Poznan,Y
PPB,President Prudente,-22.17499,-51.42471,President Prudente,Y
PPG,Pago Pago International,-14.3334,-170.7125,Pago Pago,Y
PPK,Petropavlovsk,54.77443,69.18388,Petropavlovsk,Y
PPN,Guillermo L. Valencia,2.45444,-76.60944,Popayan,Y
PPP,Whitsunday Coast,-20.49401,148.55278,Proserpine,Y
PPS,Puerto Princesa,9.74221,118.75861,Puerto Princesa,Y
PPT,Faaa,-17.55388,-149.60722,Tahiti,Y
PQC,Phu Quoc International,10.16985,103.99308,Phu Quoc,Y
PQI,Northern Maine Regional,46.68888,-68.04471,Presque Isle,Y
PQQ,Port Macquarie,-31.43532,152.86221,Port Macquarie,Y
PRA,General Urquiza,-31.7936,-60.4811,Parana,Y
PRC,Ernest A. Love Field,34.65444,-112.41971,Prescott,Y
PRH,Phrae,18.13166,100.16472,Phrae,Y
PRI,Praslin Island,-4.31916,55.69138,Praslin Island,Y
PRN,Pristina International,42.57277,21.03583,Pristina,Y
PRN,Pristina International,42.57277,21.03583,Pristina,Y
PRN,Pristina International,42.57277,21.03583,Pristina,Y
PRN,Pristina International,42.57277,21.03583,Pristina,Y
PSA,Galileo Galilei,43.68277,10.39555,Pisa,Y
PSE,Mercedita,18.00833,-66.56305,Ponce,Y
PSG,James A. Johnson,56.80208,-132.94335,Petersburg,Y
PSO,Antonio Narino,1.39598,-77.29101,Pasto,Y
PSR,Abruzzo,42.43155,14.18644,Pescara,Y
PSS,Jose de San Martin,-27.38583,-55.97054,Posadas,Y
PSU,Putussibau,0.83555,112.93721,Putussibau,Y
PTG,Polokwane International,-23.84527,29.45861,Polokwane,Y
PTH,Port Heiden Municipal,56.9572,-158.6371,Port Heiden,Y
PTP,Le Raizet,16.26527,-61.53193,Pointe-a-Pitre,Y
PTU,Platinum,59.01631,-161.82362,Platinum,Y
PUB,Pueblo Memorial,38.28916,-104.49666,Pueblo,Y
PUF,Pau Pyrenees,43.37999,-0.4186,Pau,Y
PUG,Port Augusta,-32.50694,137.71666,Port Augusta,Y
PUJ,Punta Cana International,18.56749,-68.36333,Punta Cana,Y
PUQ,C. Ibanez del Campo,-53.00277,-70.85472,Punta Arenas,Y
PUS,Gimhae Intl,35.17648,128.94227,Busan,Y
PUU,Tres de Mayo,0.50527,-76.50083,Puerto Asis,Y
PUY,Pula,44.8936,13.92221,Pula,Y
